geneID,variable,value
NOG1,goC,GO:0005737
NOG1,goC,GO:0005730
NOG1,goC,GO:0030687
RLI1,goC,GO:0005737
RLI1,goC,GO:0005634
CBF5,goC,GO:0030686
CBF5,goC,GO:0031429
CBF5,goC,GO:0000775
CBF5,goC,GO:0005737
CBF5,goC,GO:0005874
CBF5,goC,GO:0005730
FAP7,goC,GO:0005737
FAP7,goC,GO:0010494
FAP7,goC,GO:0005634
RPB5,goC,GO:0005829
RPB5,goC,GO:0005654
RPB5,goC,GO:0005634
RPB5,goC,GO:0005736
RPB5,goC,GO:0005665
RPB5,goC,GO:0005666
RPB5,goC,GO:1990062
SNU13,goC,GO:0031428
SNU13,goC,GO:0005730
SNU13,goC,GO:0005654
SNU13,goC,GO:0005634
SNU13,goC,GO:0071011
SNU13,goC,GO:0032040
SNU13,goC,GO:0005681
SNU13,goC,GO:0005687
SNU13,goC,GO:0071001
SNU13,goC,GO:0046540
RIO1,goC,GO:0005737
RIO1,goC,GO:0005829
RIO1,goC,GO:0030874
RIO1,goC,GO:0005634
RIO1,goC,GO:0030688
SDO1,goC,GO:0005737
SDO1,goC,GO:0005634
TIF6,goC,GO:0005737
TIF6,goC,GO:0005829
TIF6,goC,GO:0005730
TIF6,goC,GO:0005634
TIF6,goC,GO:0030687
NOP1,goC,GO:0030686
NOP1,goC,GO:0031428
NOP1,goC,GO:0005730
NOP1,goC,GO:0005654
NOP1,goC,GO:0032040
NOP56,goC,GO:0030686
NOP56,goC,GO:0031428
NOP56,goC,GO:0005730
NOP56,goC,GO:0005654
NOP56,goC,GO:0005634
NOP56,goC,GO:0032040
NOP58,goC,GO:0030686
NOP58,goC,GO:0031428
NOP58,goC,GO:0005730
NOP58,goC,GO:0005654
NOP58,goC,GO:0032040
SPB1,goC,GO:0005730
SPB1,goC,GO:0005634
SPB1,goC,GO:0030687
TSR3,goC,GO:0005737
TSR3,goC,GO:0005634
DBP6,goC,GO:0005730
DBP6,goC,GO:0005634
DBP6,goC,GO:0030687
DIS3,goC,GO:0000177
DIS3,goC,GO:0000178
DIS3,goC,GO:0005739
DIS3,goC,GO:0000176
DIS3,goC,GO:0005730
DIS3,goC,GO:0005634
RIA1,goC,GO:0005737
RIA1,goC,GO:0005829
RIA1,goC,GO:1990904
TRM112,goC,GO:0005829
TRM112,goC,GO:0005654
TRM112,goC,GO:0048471
TRM112,goC,GO:0032991
RRP4,goC,GO:0000177
RRP4,goC,GO:0000178
RRP4,goC,GO:0000176
RRP4,goC,GO:0005730
RRP4,goC,GO:0005634
RRP45,goC,GO:0000177
RRP45,goC,GO:0000178
RRP45,goC,GO:0000176
RRP45,goC,GO:0005730
RRP45,goC,GO:0005634
SKI6,goC,GO:0000177
SKI6,goC,GO:0000178
SKI6,goC,GO:0000176
SKI6,goC,GO:0005730
SKI6,goC,GO:0005634
RRP3,goC,GO:0005730
RRP3,goC,GO:0005654
RRP3,goC,GO:0005634
RRP3,goC,GO:0032040
DBP8,goC,GO:0030686
DBP8,goC,GO:0005730
DBP8,goC,GO:0005654
